,Unnamed: 0,album,artist,genre,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood,track_id,index,energy_level,positivity_level
203,23,Diamond Teeth Samurai,YoungBoy Never Broke Again,Rap,Diamond Teeth Samurai,0.00451,0.799,162488,0.659,0.0,10,0.13,-5.593,0,0.272,177.957,4,0.256,Excited,3tdGYraExDxOA5js4hVRbA,Excited,2.0,2.0
204,24,Chun-Li,Nicki Minaj,Rap,Chun-Li,0.307,0.643,191606,0.7659999999999999,1.3800000000000002e-05,6,0.107,-4.788,0,0.384,97.09200000000001,4,0.46299999999999997,,2gTYVoQCUh0QNUaFix01ld,,,
205,25,Bad Company,A$AP Rocky,Rap,Bad Company,0.0679,0.9009999999999999,183809,0.529,0.0,8,0.536,-7.94,1,0.413,144.941,4,0.34299999999999997,,3ZYwSDF9knZI0RVlKR4PHC,,,
206,26,TOTAL XANARCHY,Lil Xan,Rap,Slingshot,0.0562,0.9279999999999999,89973,0.778,6.27e-06,7,0.129,-6.962000000000001,0,0.252,122.99799999999999,4,0.6679999999999999,,5J3LR9JWrZIUTG7UGZkIKg,,,
207,27,Hear No Evil,Young Thug,Rap,Anybody (feat. Nicki Minaj),0.0381,0.9009999999999999,254947,0.47200000000000003,0.0,11,0.11,-8.416,0,0.19399999999999998,120.0,4,0.479,,5I30ByMf5nhgbSokY1EZiN,,,
208,28,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,Rap,"King's Dead (with Kendrick Lamar, Future & James Blake)",0.000874,0.563,229670,0.7170000000000001,0.0,1,0.183,-5.186,1,0.337,82.064,4,0.42700000000000005,Defiant,51rXHuKN8Loc4sUlKPODgH,Defiant,2.0,-1.0
209,29,Outside Today,YoungBoy Never Broke Again,Rap,Outside Today,0.26,0.838,128908,0.6759999999999999,0.0,11,0.105,-5.521,0,0.0682,134.054,4,0.146,Excited,5Qx9hngUBr30JFrNua7yp4,Excited,2.0,2.0
210,30,Life of a Dark Rose,Lil Skies,Rap,Red Roses (feat. Landon Cube),0.547,0.691,262544,0.6829999999999999,0.0,0,0.221,-7.335,1,0.0954,140.002,4,0.456,Yearning,3ZhTT6yjZwpPph5MIJ53XY,Yearning,0.0,-1.0
211,31,A$AP Forever,A$AP Rocky,Rap,A$AP Forever,0.22399999999999998,0.469,233061,0.78,0.0,10,0.13,-6.49,0,0.122,125.999,4,0.444,,1YmF9PvLhIISIANoMLIYGq,,,
212,32,The World Is Yours,Rich The Kid,Rap,End Of Discussion (feat. Lil Wayne),0.17600000000000002,0.784,236944,0.58,0.0,0,0.0979,-6.656000000000001,1,0.16699999999999998,76.484,4,0.33799999999999997,Cool,0qFX9pVJQB4lBMxRoFXqGr,Cool,-1.0,-1.0
213,33,Bounce Out With That,YBN Nahmir,Rap,Bounce Out With That,0.037000000000000005,0.865,97202,0.652,0.0,8,0.0925,-8.218,1,0.105,94.946,4,0.37200000000000005,,5lZsh9Qf7CbHI9Fcc7Zcsq,,,
214,34,123 (with Murda Beatz),Smokepurpp,Rap,123 (with Murda Beatz),0.196,0.88,170000,0.61,0.0,9,0.105,-5.257000000000001,1,0.402,135.993,4,0.38299999999999995,Cool,2xCzUIQwX5Y3wEFJnHoc3J,Cool,-1.0,-1.0
215,35,Black Panther The Album Music From And Inspired By,SOB X RBE,Rap,Paramedic!,0.155,0.8590000000000001,219307,0.6509999999999999,0.0,1,0.14,-5.395,1,0.124,97.053,4,0.48700000000000004,,2tPcTFiQF9MbVUyjZ3zDhA,,,
216,36,KOLORBLIND,DJ Esco,Rap,Chek,0.19899999999999998,0.879,202861,0.617,0.0,1,0.264,-6.332999999999999,1,0.254,144.399,4,0.345,,5SGYanjZguKYg5PgVzFsvR,,,
217,37,We Don't Luv Em (Remix),HoodRich Pablo Juan,Rap,We Don't Luv Em (Remix),0.293,0.8959999999999999,193776,0.615,0.0,6,0.122,-9.326,0,0.326,140.04,4,0.89,Cool,2Y43TDqgnRgVZA7RxtxEV1,Cool,-1.0,-1.0
